
Graph: ba_500_2
M 	    MAE 			        Time
50 	    0.1888346431490208 	    260.24733996391296
100 	0.12795555265796665 	530.3276460170746
150 	0.10948508872302391 	920.2319288253784
200 	0.09001904875804011 	1190.9978787899017
250 	0.08643094066800555 	1977.478327035904

Graph: sf_1500_041_054_005
M 	    MAE 			        Time
50 	    0.24313466278648593 	326.54699897766113
100 	0.24328740894077452 	827.7928490638733
150 	0.25722193666063686 	1300.8197901248932
200 	0.2504569013558993 	    1778.495120048523
250 	0.2775060187235756 	    2559.9085791110992
